Name,ISI,precision_saccade,precision_fixate
participant-001,0.01672335052945967,2.642885241209064,1.2471218092533178
participant-002,0.016724966078697428,0.6755566838251169,1.1982902640983475
participant-003,0.016758385430823586,4.211797174607554,1.6673449022948166
participant-004,0.016756482739874956,2.499215013019648,1.9422237267835818
participant-005,0.01675504213101386,3.369148248541347,1.3837962251223284
participant-006,0.016756137968495382,1.9449826847136515,1.1119933775962665
participant-007,0.016765289480837206,2.919374594848442,0.9190938381502877
participant-008,0.01676515357434088,4.220050145324513,1.1747555402304435
participant-009,0.016768070652173915,2.7513141105532855,1.4528679962538995
participant-010,0.016752378363685802,0.9946175174785815,1.0705474521016594
participant-011,0.01675869565217392,2.727010173275192,1.7019413956645104
participant-014,0.01676542538733347,2.6785410730879584,1.2537807939371413
participant-015,0.01673947296930168,1.9302306688235777,1.7312346569998955
participant-016,0.01672561108093428,1.268225344157001,1.1648444705980932
participant-017,0.01672565075921908,1.5586139894915827,1.595528609242812
participant-018,0.016722381210969316,1.2935196749663607,1.2845020718233835
participant-019,0.016764881761348223,0.6435214696472075,0.6889045789725852
participant-020,0.01672194791101465,2.2370264419479717,1.536117599566304
participant-021,0.016766512639304152,2.7132216565346927,2.0121320615586913
participant-022,0.016727791361043146,3.4334440677758127,1.3394612427367083
participant-023,0.016756727371568338,1.3872551548559635,1.285212761847459
participant-024,0.01480580753539716,0.7740714963364544,1.6231500754644994
participant-025,0.016756653992395402,0.3696381180331373,1.4383291849542508
participant-027,0.016723669923995654,1.428894401254752,1.2139200771119059
participant-028,0.016726044492674983,3.4919152726156515,0.9567100930742231
participant-029,0.01672372660699756,3.212702043391371,1.3510587853795695
participant-030,0.016763586956521755,0.8193950170845783,1.2025392590777018
participant-031,0.01675896739130435,0.9690280742349889,1.4082922369248378
participant-033,0.01675945652173913,2.3408741079406283,1.3932430302493384
participant-034,0.016762163631421554,1.2166580569280476,0.8030896911994271
participant-036,0.016754281054634446,1.3598101773513802,0.9791820699939093
